"Notes"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	21	783	2681.9923
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	12	3623	331.2172 (Unreliable)
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	14	2482	564.0612 (Unreliable)
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	12	1276	940.4389 (Unreliable)
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"Ischaemic heart diseases"	"I20-I25"	"45-54 years"	"45-54"	13	5893	220.6007 (Unreliable)
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	11	4759	231.1410 (Unreliable)
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	14	3067	456.4721 (Unreliable)
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	25	1756	1423.6902
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	21	533	3939.9625
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	11	2169	507.1462 (Unreliable)
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	13	488	2663.9344 (Unreliable)
	"Alabama"	"01"	"Clay County, AL"	"01027"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	14	797	1756.5872 (Unreliable)
	"Alabama"	"01"	"Clay County, AL"	"01027"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	12	294	4081.6327 (Unreliable)
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	11	3705	296.8961 (Unreliable)
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	27	2247	1201.6021
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	24	713	3366.0589
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Micropolitan (non-metro)"	"5"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	12	2247	534.0454 (Unreliable)
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"45-54 years"	"45-54"	11	7980	137.8446 (Unreliable)
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	18	6778	265.5651 (Unreliable)
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	25	4761	525.0998
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	37	3110	1189.7106
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	42	983	4272.6348
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	10	3110	321.5434 (Unreliable)
	"Alabama"	"01"	"Covington County, AL"	"01039"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	14	4571	306.2787 (Unreliable)
	"Alabama"	"01"	"Covington County, AL"	"01039"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	13	3528	368.4807 (Unreliable)
	"Alabama"	"01"	"Covington County, AL"	"01039"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	21	2279	921.4568
	"Alabama"	"01"	"Covington County, AL"	"01039"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	19	883	2151.7554 (Unreliable)
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"45-54 years"	"45-54"	12	11156	107.5654 (Unreliable)
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	23	9407	244.4988
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	18	6471	278.1641 (Unreliable)
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	34	4064	836.6142
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	38	1191	3190.5961
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"Chronic lower respiratory diseases"	"J40-J47"	"65-74 years"	"65-74"	13	6471	200.8963 (Unreliable)
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	20	4064	492.1260
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"Chronic lower respiratory diseases"	"J40-J47"	"85+ years"	"85+"	11	1191	923.5936 (Unreliable)
	"Alabama"	"01"	"Dale County, AL"	"01045"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	10	5155	193.9864 (Unreliable)
	"Alabama"	"01"	"Dale County, AL"	"01045"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	11	3752	293.1770 (Unreliable)
	"Alabama"	"01"	"Dale County, AL"	"01045"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	27	2109	1280.2276
	"Alabama"	"01"	"Dale County, AL"	"01045"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	13	639	2034.4288 (Unreliable)
	"Alabama"	"01"	"Dale County, AL"	"01045"	"Micropolitan (non-metro)"	"5"	"Chronic lower respiratory diseases"	"J40-J47"	"65-74 years"	"65-74"	10	3752	266.5245 (Unreliable)
	"Alabama"	"01"	"Dale County, AL"	"01045"	"Micropolitan (non-metro)"	"5"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	14	2109	663.8217 (Unreliable)
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	16	4731	338.1949 (Unreliable)
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	15	3387	442.8698 (Unreliable)
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	26	1991	1305.8764
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	11	716	1536.3128 (Unreliable)
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	12	7614	157.6044 (Unreliable)
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	15	5258	285.2796 (Unreliable)
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	37	2972	1244.9529
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	32	1020	3137.2549
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (non-metro)"	"6"	"Chronic lower respiratory diseases"	"J40-J47"	"65-74 years"	"65-74"	19	5258	361.3541 (Unreliable)
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (non-metro)"	"6"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	14	2972	471.0633 (Unreliable)
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Medium Metro"	"3"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	11	7820	140.6650 (Unreliable)
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Medium Metro"	"3"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	16	4628	345.7217 (Unreliable)
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Medium Metro"	"3"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	14	2516	556.4388 (Unreliable)
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Medium Metro"	"3"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	13	830	1566.2651 (Unreliable)
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Medium Metro"	"3"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	13	2516	516.6932 (Unreliable)
	"Alabama"	"01"	"Escambia County, AL"	"01053"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	13	4397	295.6561 (Unreliable)
	"Alabama"	"01"	"Escambia County, AL"	"01053"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	10	2998	333.5557 (Unreliable)
	"Alabama"	"01"	"Escambia County, AL"	"01053"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	17	1738	978.1358 (Unreliable)
	"Alabama"	"01"	"Escambia County, AL"	"01053"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	23	583	3945.1115
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"45-54 years"	"45-54"	23	15040	152.9255
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	35	12463	280.8313
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	46	8435	545.3468
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	81	5870	1379.8978
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	63	1787	3525.4617
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"55-64 years"	"55-64"	10	12463	80.2375 (Unreliable)
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"65-74 years"	"65-74"	15	8435	177.8305 (Unreliable)
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	29	5870	494.0375
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"85+ years"	"85+"	14	1787	783.4359 (Unreliable)
	"Alabama"	"01"	"Fayette County, AL"	"01057"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	11	994	1106.6398 (Unreliable)
	"Alabama"	"01"	"Franklin County, AL"	"01059"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	18	1588	1133.5013 (Unreliable)
	"Alabama"	"01"	"Franklin County, AL"	"01059"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	21	461	4555.3145
	"Alabama"	"01"	"Franklin County, AL"	"01059"	"NonCore (non-metro)"	"6"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	10	1588	629.7229 (Unreliable)
	"Alabama"	"01"	"Geneva County, AL"	"01061"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	13	1436	905.2925 (Unreliable)
	"Alabama"	"01"	"Geneva County, AL"	"01061"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	16	518	3088.8031 (Unreliable)
	"Alabama"	"01"	"Hale County, AL"	"01065"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	12	734	1634.8774 (Unreliable)
	"Alabama"	"01"	"Henry County, AL"	"01067"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	11	1486	740.2423 (Unreliable)
	"Alabama"	"01"	"Henry County, AL"	"01067"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	10	909	1100.1100 (Unreliable)
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	11	10740	102.4209 (Unreliable)
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	13	6809	190.9238 (Unreliable)
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	30	4162	720.8073
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	34	1480	2297.2973
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	10	4162	240.2691 (Unreliable)
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"85+ years"	"85+"	10	1480	675.6757 (Unreliable)
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"45-54 years"	"45-54"	10	7908	126.4542 (Unreliable)
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	12	6864	174.8252 (Unreliable)
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	15	4671	321.1304 (Unreliable)
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	30	2482	1208.7027
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	21	782	2685.4220
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Micropolitan (non-metro)"	"5"	"Chronic lower respiratory diseases"	"J40-J47"	"65-74 years"	"65-74"	13	4671	278.3130 (Unreliable)
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"Ischaemic heart diseases"	"I20-I25"	"35-44 years"	"35-44"	18	90820	19.8194 (Unreliable)
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"Ischaemic heart diseases"	"I20-I25"	"45-54 years"	"45-54"	58	98372	58.9599
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	79	67077	117.7751
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	141	42014	335.6024
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	277	32143	861.7739
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	242	11186	2163.4186
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"Chronic lower respiratory diseases"	"J40-J47"	"55-64 years"	"55-64"	20	67077	29.8165
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"Chronic lower respiratory diseases"	"J40-J47"	"65-74 years"	"65-74"	76	42014	180.8921
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	116	32143	360.8873
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"Chronic lower respiratory diseases"	"J40-J47"	"85+ years"	"85+"	51	11186	455.9271
	"Alabama"	"01"	"Lamar County, AL"	"01075"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	10	837	1194.7431 (Unreliable)
	"Alabama"	"01"	"Lamar County, AL"	"01075"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	10	299	3344.4816 (Unreliable)
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	13	7505	173.2179 (Unreliable)
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	34	4952	686.5913
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	38	1677	2265.9511
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"65-74 years"	"65-74"	10	7505	133.2445 (Unreliable)
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	20	4952	403.8772
	"Alabama"	"01"	"Lawrence County, AL"	"01079"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	10	4189	238.7205 (Unreliable)
	"Alabama"	"01"	"Lawrence County, AL"	"01079"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	11	2617	420.3286 (Unreliable)
	"Alabama"	"01"	"Lawrence County, AL"	"01079"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	14	1437	974.2519 (Unreliable)
	"Alabama"	"01"	"Lawrence County, AL"	"01079"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	13	448	2901.7857 (Unreliable)
	"Alabama"	"01"	"Lee County, AL"	"01081"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	15	10363	144.7457 (Unreliable)
	"Alabama"	"01"	"Lee County, AL"	"01081"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	27	6167	437.8142
	"Alabama"	"01"	"Lee County, AL"	"01081"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	28	3333	840.0840
	"Alabama"	"01"	"Lee County, AL"	"01081"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	27	1125	2400.0000
	"Alabama"	"01"	"Lee County, AL"	"01081"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	17	3333	510.0510 (Unreliable)
	"Alabama"	"01"	"Limestone County, AL"	"01083"	"Medium Metro"	"3"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	11	8088	136.0040 (Unreliable)
	"Alabama"	"01"	"Limestone County, AL"	"01083"	"Medium Metro"	"3"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	16	4927	324.7412 (Unreliable)
	"Alabama"	"01"	"Limestone County, AL"	"01083"	"Medium Metro"	"3"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	25	2694	927.9881
	"Alabama"	"01"	"Limestone County, AL"	"01083"	"Medium Metro"	"3"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	21	817	2570.3794
