"Notes"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Franklin County, AL"	"01059"	"NonCore (non-metro)"	"6"	"80-84 years"	"80-84"	13	617	Unreliable	0.0026%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Houston County, AL"	"01069"	"Small Metro"	"4"	"60-64 years "	"60-64"	10	6203	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Houston County, AL"	"01069"	"Small Metro"	"4"	"80-84 years"	"80-84"	15	2112	Unreliable	0.0030%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Houston County, AL"	"01069"	"Small Metro"	"4"	"85-89 years"	"85-89"	13	Not Applicable	Not Applicable	0.0026%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Micropolitan (non-metro)"	"5"	"60-64 years "	"60-64"	11	3566	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Micropolitan (non-metro)"	"5"	"70-74 years"	"70-74"	11	2364	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Micropolitan (non-metro)"	"5"	"75-79 years"	"75-79"	12	1697	Unreliable	0.0024%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Micropolitan (non-metro)"	"5"	"80-84 years"	"80-84"	10	1068	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"35-39 years"	"35-39"	10	40694	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"40-44 years"	"40-44"	14	41916	Unreliable	0.0028%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"45-49 years"	"45-49"	21	42841	49.0185	0.0042%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"50-54 years"	"50-54"	27	47499	56.8433	0.0054%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"55-59 years"	"55-59"	42	46364	90.5875	0.0083%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"60-64 years "	"60-64"	45	39096	115.1013	0.0089%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"65-69 years"	"65-69"	55	27715	198.4485	0.0109%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"70-74 years"	"70-74"	61	20088	303.6639	0.0121%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"75-79 years"	"75-79"	65	15460	420.4398	0.0129%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"80-84 years"	"80-84"	96	13146	730.2602	0.0190%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"85-89 years"	"85-89"	90	Not Applicable	Not Applicable	0.0178%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"90-94 years"	"90-94"	71	Not Applicable	Not Applicable	0.0141%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"95-99 years"	"95-99"	27	Not Applicable	Not Applicable	0.0054%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Small Metro"	"4"	"65-69 years"	"65-69"	10	5081	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Small Metro"	"4"	"75-79 years"	"75-79"	11	3052	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Small Metro"	"4"	"80-84 years"	"80-84"	15	2215	Unreliable	0.0030%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Small Metro"	"4"	"85-89 years"	"85-89"	11	Not Applicable	Not Applicable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Lee County, AL"	"01081"	"Small Metro"	"4"	"75-79 years"	"75-79"	13	2480	Unreliable	0.0026%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Lee County, AL"	"01081"	"Small Metro"	"4"	"80-84 years"	"80-84"	11	1708	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Limestone County, AL"	"01083"	"Medium Metro"	"3"	"75-79 years"	"75-79"	11	2047	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Limestone County, AL"	"01083"	"Medium Metro"	"3"	"80-84 years"	"80-84"	11	1306	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Madison County, AL"	"01089"	"Medium Metro"	"3"	"45-49 years"	"45-49"	13	26743	Unreliable	0.0026%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Madison County, AL"	"01089"	"Medium Metro"	"3"	"50-54 years"	"50-54"	21	27711	75.7822	0.0042%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Madison County, AL"	"01089"	"Medium Metro"	"3"	"55-59 years"	"55-59"	18	22872	Unreliable	0.0036%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Madison County, AL"	"01089"	"Medium Metro"	"3"	"60-64 years "	"60-64"	18	18415	Unreliable	0.0036%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Madison County, AL"	"01089"	"Medium Metro"	"3"	"65-69 years"	"65-69"	26	14240	182.5843	0.0052%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Madison County, AL"	"01089"	"Medium Metro"	"3"	"70-74 years"	"70-74"	19	10894	Unreliable	0.0038%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Madison County, AL"	"01089"	"Medium Metro"	"3"	"75-79 years"	"75-79"	17	8495	Unreliable	0.0034%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Madison County, AL"	"01089"	"Medium Metro"	"3"	"80-84 years"	"80-84"	25	5628	444.2075	0.0050%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Madison County, AL"	"01089"	"Medium Metro"	"3"	"85-89 years"	"85-89"	24	Not Applicable	Not Applicable	0.0048%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Madison County, AL"	"01089"	"Medium Metro"	"3"	"90-94 years"	"90-94"	17	Not Applicable	Not Applicable	0.0034%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Marion County, AL"	"01093"	"NonCore (non-metro)"	"6"	"85-89 years"	"85-89"	10	Not Applicable	Not Applicable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Marshall County, AL"	"01095"	"Micropolitan (non-metro)"	"5"	"50-54 years"	"50-54"	14	6522	Unreliable	0.0028%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Marshall County, AL"	"01095"	"Micropolitan (non-metro)"	"5"	"60-64 years "	"60-64"	14	5542	Unreliable	0.0028%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Marshall County, AL"	"01095"	"Micropolitan (non-metro)"	"5"	"75-79 years"	"75-79"	15	2755	Unreliable	0.0030%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Marshall County, AL"	"01095"	"Micropolitan (non-metro)"	"5"	"80-84 years"	"80-84"	16	1832	Unreliable	0.0032%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Marshall County, AL"	"01095"	"Micropolitan (non-metro)"	"5"	"85-89 years"	"85-89"	15	Not Applicable	Not Applicable	0.0030%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Marshall County, AL"	"01095"	"Micropolitan (non-metro)"	"5"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"45-49 years"	"45-49"	12	27324	Unreliable	0.0024%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"50-54 years"	"50-54"	26	30016	86.6205	0.0052%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"55-59 years"	"55-59"	52	28071	185.2446	0.0103%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"60-64 years "	"60-64"	43	24039	178.8760	0.0085%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"65-69 years"	"65-69"	61	19281	316.3736	0.0121%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"70-74 years"	"70-74"	68	13578	500.8101	0.0135%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"75-79 years"	"75-79"	77	9858	781.0915	0.0153%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"80-84 years"	"80-84"	81	7077	1144.5528	0.0161%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"85-89 years"	"85-89"	89	Not Applicable	Not Applicable	0.0176%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"90-94 years"	"90-94"	73	Not Applicable	Not Applicable	0.0145%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"95-99 years"	"95-99"	20	Not Applicable	Not Applicable	0.0040%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Medium Metro"	"3"	"50-54 years"	"50-54"	14	15226	Unreliable	0.0028%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Medium Metro"	"3"	"60-64 years "	"60-64"	12	12456	Unreliable	0.0024%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Medium Metro"	"3"	"65-69 years"	"65-69"	16	9121	Unreliable	0.0032%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Medium Metro"	"3"	"70-74 years"	"70-74"	12	6552	Unreliable	0.0024%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Medium Metro"	"3"	"75-79 years"	"75-79"	25	5333	468.7793	0.0050%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Medium Metro"	"3"	"80-84 years"	"80-84"	18	3891	Unreliable	0.0036%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Medium Metro"	"3"	"85-89 years"	"85-89"	19	Not Applicable	Not Applicable	0.0038%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Medium Metro"	"3"	"90-94 years"	"90-94"	25	Not Applicable	Not Applicable	0.0050%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Small Metro"	"4"	"50-54 years"	"50-54"	11	8848	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Small Metro"	"4"	"55-59 years"	"55-59"	22	8202	268.2273	0.0044%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Small Metro"	"4"	"60-64 years "	"60-64"	19	7241	Unreliable	0.0038%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Small Metro"	"4"	"65-69 years"	"65-69"	21	6054	346.8781	0.0042%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Small Metro"	"4"	"70-74 years"	"70-74"	13	4531	Unreliable	0.0026%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Small Metro"	"4"	"75-79 years"	"75-79"	24	3258	736.6483	0.0048%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Small Metro"	"4"	"80-84 years"	"80-84"	17	2320	Unreliable	0.0034%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Small Metro"	"4"	"85-89 years"	"85-89"	17	Not Applicable	Not Applicable	0.0034%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Small Metro"	"4"	"90-94 years"	"90-94"	15	Not Applicable	Not Applicable	0.0030%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	10	6311	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	11	5212	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	14	3170	Unreliable	0.0028%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	11	1353	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	14	8654	Unreliable	0.0028%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	15	5946	Unreliable	0.0030%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	17	3953	Unreliable	0.0034%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	17	2936	Unreliable	0.0034%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	22	Not Applicable	Not Applicable	0.0044%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Tallapoosa County, AL"	"01123"	"NonCore (non-metro)"	"6"	"80-84 years"	"80-84"	10	972	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Small Metro"	"4"	"55-59 years"	"55-59"	12	12124	Unreliable	0.0024%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Small Metro"	"4"	"60-64 years "	"60-64"	21	10204	205.8016	0.0042%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Small Metro"	"4"	"65-69 years"	"65-69"	12	7336	Unreliable	0.0024%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Small Metro"	"4"	"75-79 years"	"75-79"	14	3894	Unreliable	0.0028%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Small Metro"	"4"	"80-84 years"	"80-84"	17	3086	Unreliable	0.0034%
